0,name,description,0.00,0.00
1,New Name,Over-ear Bluetooth headphones with noise cancellation,79.99,99.99
3,Portable Speaker,Compact wireless speaker with 12-hour battery life,59.99,40.00
4,Gaming Mouse,Ergonomic gaming mouse with customizable RGB lighting,39.99,25.00
5,Laptop Sleeve,Sleek and durable laptop sleeve with extra storage pockets,25.49,15.00
6,Electric Toothbrush,Rechargeable toothbrush with multiple cleaning modes,89.99,60.00
7,Action Camera,4K waterproof action camera with stabilization,199.99,150.00
8,Desk Organizer,Wooden desk organizer with pen holders and drawer,32.99,20.00
9,Travel Backpack,Lightweight and spacious backpack with USB charging port,69.99,45.00
10,Wireless Charger,Fast wireless charging pad with dual charging capability,29.99,18.00
